date_or_range,campaignNo,campaignName,result(결과),resultType(결과유형),salesPerResult(결과당비용),salesPerResultType,schedule(일정),cost(총비용),impressions,clicks,conversions,convSales(총전환매출),purchaseConvSales(구매완료전환매출)
2026-06-20,1482550,ADVoost 쇼핑#2606191823,6,전환,17072,전환당,2026.06.20. ~ 진행 중,102433,1116,42,6,791190,289280
2026-06-21,1482550,ADVoost 쇼핑#2606191823,3,전환,34446,전환당,2026.06.20. ~ 진행 중,103339,1046,42,3,325900,0
2026-06-22,1482550,ADVoost 쇼핑#2606191823,20,전환,9851,전환당,2026.06.20. ~ 진행 중,197011,2579,102,20,2730990,1066970
2026-06-23,1482551,ADVoost 쇼핑 부스트 업,0,전환,0,전환당,2026.06.19. ~ 진행 중,56179,175458,101,0,0,0
2026-06-23,1482550,ADVoost 쇼핑#2606191823,19,전환,16331,전환당,2026.06.20. ~ 진행 중,310284,3193,128,19,3037710,882310
2026-06-24,1482551,ADVoost 쇼핑 부스트 업,0,전환,0,전환당,2026.06.19. ~ 진행 중,0,41,0,0,0,0
2026-06-24,1482550,ADVoost 쇼핑#2606191823,18,전환,20900,전환당,2026.06.20. ~ 진행 중,376202,17423,132,18,2259560,623530
2026-06-25,1482550,ADVoost 쇼핑#2606191823,25,전환,16007,전환당,2026.06.20. ~ 진행 중,400174,15422,166,25,2975110,1206710
2026-06-26,1482550,ADVoost 쇼핑#2606191823,44,전환,8169,전환당,2026.06.20. ~ 진행 중,359438,15660,152,44,5610720,2637090
2026-06-27,1482550,ADVoost 쇼핑#2606191823,35,전환,9445,전환당,2026.06.20. ~ 진행 중,330568,20521,131,35,3170320,664810
2026-06-28,1482550,ADVoost 쇼핑#2606191823,28,전환,14329,전환당,2026.06.20. ~ 진행 중,401224,17730,156,28,3026030,1231920
2026-06-29,1482550,ADVoost 쇼핑#2606191823,28,전환,13478,전환당,2026.06.20. ~ 진행 중,377394,13433,137,28,3462120,901720
2026-06-30,1482550,ADVoost 쇼핑#2606191823,36,전환,10936,전환당,2026.06.20. ~ 진행 중,393702,16179,167,36,3688700,1443100
2026-07-01,1482550,ADVoost 쇼핑#2606191823,48,전환,8293,전환당,2026.06.20. ~ 진행 중,398062,13974,177,48,5120540,2323730
2026-07-02,1482550,ADVoost 쇼핑#2606191823,63,전환,10314,전환당,2026.06.20. ~ 진행 중,649773,29687,228,63,6374660,3188460
TOTAL_20260403_20260703,1482551,ADVoost 쇼핑 부스트 업,0,전환,0,전환당,2026.06.19. ~ 진행 중,56179,175499,101,0,0,0
TOTAL_20260403_20260703,1482550,ADVoost 쇼핑#2606191823,408,전환,12425,전환당,2026.06.20. ~ 진행 중,5069493,197999,1964,408,45582210,17801090
